country,arrivals,ISO3_code,AveragePopulation,ArrivalsPer1000
MDV,80329,MDV,526.1201363636363,152681.8580927291
MEX,22342,MEX,130393.90690909092,171.34236199837602
MHL,111,MHL,38.23322727272727,2903.2338601240476
MKD,1332,MKD,1828.4803181818183,728.4737969312667
MLI,331,MLI,24125.21481818182,13.720085085026637
MLT,1829,MLT,536.9691818181818,3406.1545092904435
MMR,360931,MMR,54336.25318181818,6642.544873167176
MNE,564,MNE,634.3889090909091,889.0445465199293
MNG,16414,MNG,3453.983318181818,4752.19434720384
MNP,3,MNP,44.73322727272727,67.06424246365576
MOZ,956,MOZ,34139.92836363636,28.002402050095373
MRT,744,MRT,5097.046681818182,145.9668797333058
MUS,41679,MUS,1273.1679545454544,32736.450718224532
MWI,662,MWI,21390.486954545453,30.948337053136875
MYT,2,MYT,321.24054545454544,6.225864164095668
NAM,616,NAM,2994.559136363636,205.7064068362408
NCL,2,NCL,291.51981818181815,6.860597034101533
NER,90,NER,26602.365863636365,3.383157740982125
NGA,15552,NGA,230324.3754090909,67.52216291644034
NIC,243,NIC,6874.849136363637,35.34623017611871
NLD,174610,NLD,18155.463863636363,9617.49043216279
NOR,30007,NOR,5550.593227272728,5406.08882174273
NPL,449691,NPL,29644.816681818178,15169.296029946625
NRU,102,NRU,11.913,8562.075044069503
NZL,113255,NZL,5196.721272727273,21793.549058397555
OMN,39478,OMN,5165.745363636363,7642.265969573448
PAK,355369,PAK,249398.63077272728,1424.9035726416705
PAN,947,PAN,4489.325045454545,210.9448503754123
PER,4860,PER,34056.189090909094,142.70533872791188
PHL,1147669,PHL,115445.79681818181,9941.193457285324
PLW,57,PLW,17.709318181818183,3218.64452458259
PNG,2519,PNG,10486.183772727272,240.2208519892125
POL,61737,POL,38530.98322727273,1602.2690009192847
PRI,1,PRI,3244.743681818182,0.30819075343407504
PRK,9,PRK,26463.694772727275,0.34008856576123836
PRT,27939,PRT,10421.745636363636,2680.8368746321175
PRY,463,PRY,6891.088318181818,67.18822610042537
PSE,10249,PSE,5447.076409090909,1881.5598002067516
QAT,5388,QAT,3010.9430909090906,1789.472546415086
REU,2,REU,876.9784545454546,2.280557737346714
ROU,25980,ROU,19058.442045454543,1363.1754336496908
RUS,281242,RUS,145065.58986363636,1938.723030488287
RWA,297,RWA,14104.665500000001,21.05686235522565
SAU,151906,SAU,33571.50181818182,4524.849702068735
SDN,30589,SDN,50088.49763636364,610.6990914774965
SEN,1799,SEN,18292.51481818182,98.34623712929218
SGP,34496707,SGP,5827.672681818181,5919465.433881804
SHN,2,SHN,5.2606363636363636,380.18214180793893
SLB,459,SLB,809.9397272727273,566.7088359100122
SLE,739,SLE,8553.191590909091,86.40049648665173
SLV,519,SLV,6328.245318181818,82.0132554768144
SMR,81,SMR,33.71131818181818,2402.7538633504532
